raw_position,reconciled_position
certified occupational therapist,occupational therapist
ccnp,network administrator
front end engineer,web designer
information technology project manager,it project manager
finance mgr,finance manager
art consultant,art director
licensed massage therapist,massage therapist
dining server,waiter
manager of finance,finance manager
web architect,web designer
waitstaff,waiter
shipyard painter,painter
junior accountant,accountant
network admin,network administrator
assistant management accountant,accountant
certified nurse aide,nurse assistant
designer art director,art director
web engineer,web designer
equipment worker,equipment operator
carpenters,carpenter
support dba,database administrator
welder installer,welder
commercial representative,commercial analyst
operations supervisor,operations manager
director art,art director
data administrator,database administrator
hvac service tech,hvac technician
occupational ther,occupational therapist
retail sales associates,retail sales assistant
arts director,art director
retail sales representatives,retail sales assistant
hvac installer,hvac technician
financial service manager,finance manager
3d animator,3d animator
3d artist,3d artist
911 dispatcher,911 dispatcher
911 operator,911 operator
a and p mechanic,a and p mechanic
aaa dispatcher,aaa dispatcher
ab initio developer,ab initio developer
ab initio tester,ab initio tester
aba consultant,aba consultant
aba tutor,aba tutor
abap consultant,abap consultant
abap developer,abap developer
ach specialist,ach specialist
ad agency account executive,ad agency account executive
ada coordinator,ada coordinator
ag loan officer,ag loan officer
ag teacher,ag teacher
ah 64 mechanic,ah 64 mechanic
ai programmer,ai programmer
aix administrator,aix administrator
aix system administrator,aix system administrator
aml analyst,aml analyst
aml investigator,aml investigator
aml officer,aml officer
aoda counselor,aoda counselor
ap clerk,ap clerk
api inspector,api inspector
as400 administrator,as400 administrator
as400 programmer,as400 programmer
as400 rpg programmer,as400 rpg programmer
as400 system administrator,as400 system administrator
as9100 internal auditor,as9100 internal auditor
asic design engineer,asic design engineer
asic engineer,asic engineer
asic verification engineer,asic verification engineer
asl instructor,asl instructor
asl interpreter,asl interpreter
asl teacher,asl teacher
av technician,av technician
aba therapist,aba therapist
able bodied seaman,able bodied seaman
abstractor,abstractor
academic administrator,academic administrator
academic advisor,academic advisor
academic coordinator,academic coordinator
academic counselor,academic counselor
academic dean,academic dean
academic director,academic director
academic librarian,academic librarian
access developer,access developer
accident investigator,accident investigator
account analyst,account analyst
account assistant,account assistant
account clerk,account clerk
account coordinator,account coordinator
account development manager,account development manager
account director,account director
account executive,account executive
account manager,account manager
account manager examples,account manager examples
account officer,account officer
account payable associate,account payable associate
account planner,account planner
account representative,account representative
account specialist,account specialist
account supervisor,account supervisor
accountant assistant,accountant assistant
accountant examples,accountant examples
accountant supervisor,accountant supervisor
accounting analyst,accounting analyst
accounting assistant,accounting assistant
accounting associate,accounting associate
accounting clerk,accounting clerk
accounting consultant,accounting consultant
accounting coordinator,accounting coordinator
accounting director,accounting director
accounting intern,accounting intern
accounting manager,accounting manager
accounting officer,accounting officer
accounting specialist,accounting specialist
accounting supervisor,accounting supervisor
accounting technician,accounting technician
accounting tutor,accounting tutor
accounts administrator,accounts administrator
accounts assistant,accounts assistant
accounts clerk,accounts clerk
accounts officer,accounts officer
accounts payable,accounts payable
accounts payable analyst,accounts payable analyst
accounts payable clerk,accounts payable clerk
accounts payable coordinator,accounts payable coordinator
accounts payable manager,accounts payable manager
accounts payable processor,accounts payable processor
accounts payable specialist,accounts payable specialist
accounts payable supervisor,accounts payable supervisor
accounts receivable analyst,accounts receivable analyst
accounts receivable clerk,accounts receivable clerk
accounts receivable coordinator,accounts receivable coordinator
accounts receivable manager,accounts receivable manager
accounts receivable specialist,accounts receivable specialist
accounts receivable supervisor,accounts receivable supervisor
activities aide,activities aide
activities assistant,activities assistant
activities coordinator,activities coordinator
activities director,activities director
activities manager,activities manager
activity aide,activity aide
activity assistant,activity assistant
activity coordinator,activity coordinator
activity director,activity director
activity manager,activity manager
activity therapist,activity therapist
actor,actor
actress,actress
actuarial analyst,actuarial analyst
actuary,actuary
acupuncturist,acupuncturist
acute care nurse practitioner,acute care nurse practitioner
ad response,ad response
addiction counselor,addiction counselor
addiction specialist,addiction specialist
addiction therapist,addiction therapist
adjudicator,adjudicator
adjunct faculty,adjunct faculty
adjunct instructor,adjunct instructor
adjunct lecturer,adjunct lecturer
adjunct professor,adjunct professor
admin clerk,admin clerk
admin manager,admin manager
admin officer,admin officer
administration clerk,administration clerk
